state_county,name,count,lat,lng
"FL - Clay County","FL - Clay County",363,30.078660358127,-81.764268093664
"FL - Suwannee County","FL - Suwannee County",154,30.233411051948,-82.976704188312
"FL - Nassau County","FL - Nassau County",135,30.617498822222,-81.570830325926
"FL - Columbia County","FL - Columbia County",125,30.179263944,-82.643908152
"FL - St Johns County","FL - St Johns County",657,29.970940225266,-81.426604617961
"FL - Baker County","FL - Baker County",70,30.282826628571,-82.150593014286
"FL - Bradford County","FL - Bradford County",31,29.939605322581,-82.118016870968
"FL - Hamilton County","FL - Hamilton County",35,30.495874142857,-82.961577028571
"FL - Union County","FL - Union County",15,29.876217133333,-82.296574
"FL - Madison County","FL - Madison County",81,30.474413172839,-83.426344419753
"FL - Lafayette County","FL - Lafayette County",68,30.050449455882,-83.173244617647
"FL - Flagler County","FL - Flagler County",204,29.526352955882,-81.21661722549
"FL - Duval County","FL - Duval County",1894,30.31008857075,-81.619700770855
"FL - Lake County","FL - Lake County",206,28.851138456311,-81.679087567961
"FL - Volusia County","FL - Volusia County",1367,29.06975532992,-81.1125472436
"FL - Putnam County","FL - Putnam County",268,29.600521033582,-81.709073794776
"FL - Marion County","FL - Marion County",1138,29.123355202988,-82.206039008787
"FL - Sumter County","FL - Sumter County",158,28.704897721519,-82.090644683544
"FL - Leon County","FL - Leon County",246,30.445859463415,-84.268590630081
"FL - Franklin County","FL - Franklin County",37,29.763313972973,-84.853120756757
"FL - Liberty County","FL - Liberty County",36,30.401721138889,-84.946313361111
"FL - Gadsden County","FL - Gadsden County",196,30.611001403061,-84.586808030612
"FL - Wakulla County","FL - Wakulla County",85,30.121247752941,-84.375566329412
"FL - Jefferson County","FL - Jefferson County",57,30.529025807018,-83.881773052632
"FL - Taylor County","FL - Taylor County",113,30.063319513274,-83.557238424779
"FL - Bay County","FL - Bay County",403,30.18279866005,-85.653728923077
"FL - Walton County","FL - Walton County",288,30.574637159722,-86.213962354167
"FL - Jackson County","FL - Jackson County",208,30.807645052885,-85.237905259615
"FL - Calhoun County","FL - Calhoun County",68,30.475204661765,-85.089230264706
"FL - Holmes County","FL - Holmes County",40,30.842355275,-85.709148425
"FL - Washington County","FL - Washington County",116,30.733620681034,-85.587449784483
"FL - Gulf County","FL - Gulf County",72,29.926340763889,-85.265845375
"FL - Escambia County","FL - Escambia County",494,30.470462115385,-87.248162437247
"FL - Santa Rosa County","FL - Santa Rosa County",856,30.591568898365,-87.068661630841
"FL - Okaloosa County","FL - Okaloosa County",1115,30.554125408072,-86.557544806278
"FL - Alachua County","FL - Alachua County",973,29.677546860226,-82.378537564234
"FL - Gilchrist County","FL - Gilchrist County",39,29.661587846154,-82.825454384615
"FL - Levy County","FL - Levy County",126,29.36578215873,-82.691008380952
"FL - Dixie County","FL - Dixie County",40,29.5696195,-83.11410475
"FL - Seminole County","FL - Seminole County",1100,28.71671325,-81.311792905455
"FL - Orange County","FL - Orange County",1811,28.527803765323,-81.372096279956
"FL - Brevard County","FL - Brevard County",872,28.211459026376,-80.669877809633
"FL - Indian River County","FL - Indian River County",380,27.675996771053,-80.444024302632
"FL - Miami Dade County","FL - Miami Dade County",4315,25.779518461646,-80.292758437544
"FL - Broward County","FL - Broward County",3193,26.143858212026,-80.222088216723
"FL - Monroe County","FL - Monroe County",152,24.779250085526,-81.231436723684
"FL - Palm Beach County","FL - Palm Beach County",2791,26.631208089215,-80.182462234683
"FL - Martin County","FL - Martin County",109,27.066660201835,-80.148422908257
"FL - Hendry County","FL - Hendry County",74,26.745881716216,-81.233645945946
"FL - Pasco County","FL - Pasco County",790,28.284440572152,-82.460405891139
"FL - Glades County","FL - Glades County",22,26.833579454545,-81.146406409091
"FL - Hillsborough County","FL - Hillsborough County",1166,27.977144133791,-82.412811366209
"FL - Hernando County","FL - Hernando County",120,28.524284433333,-82.462572591667
"FL - Pinellas County","FL - Pinellas County",1774,27.863310496054,-82.720906541713
"FL - Polk County","FL - Polk County",1629,28.007138080417,-81.796394240024
"FL - North Fort Myers","FL - North Fort Myers",1,28.55302,-82.468201
"FL - Orlando","FL - Orlando",1,28.55302,-82.468201
"FL - Highlands County","FL - Highlands County",369,27.450021902439,-81.414780726287
"FL - Hardee County","FL - Hardee County",81,27.558697617284,-81.806775962963
"FL - Manatee County","FL - Manatee County",518,27.481736909266,-82.53628242471
"FL - Osceola County","FL - Osceola County",1,28.26627,-81.52516
"FL - Lee County","FL - Lee County",678,26.573197314159,-81.89197220944
"FL - Charlotte County","FL - Charlotte County",414,26.954500181159,-82.115129809179
"FL - Collier County","FL - Collier County",787,26.192669621347,-81.686805496823
"FL - Sarasota County","FL - Sarasota County",417,27.196983779376,-82.443755352518
"FL - Desoto County","FL - Desoto County",108,27.209611527778,-81.862233324074
"FL - Citrus County","FL - Citrus County",384,28.869392541667,-82.480140960938
